year,player,team,games,points,assists,blocks,rebounds
2000,Raef LaFrentz,Denver Nuggets,81,1006,97,180,641
2000,Andrew Lang,New York Knicks,19,59,3,6,60
2000,Antonio Lang,Toronto Raptors,7,3,1,1,5
2000,Antonio Lang,Philadelphia 76ers,3,3,1,0,0
2000,Trajan Langdon,Cleveland Cavaliers,10,49,11,0,15
2000,Rusty LaRue,Chicago Bulls,4,37,11,0,10
2000,Tim Legler,Golden State Warriors,23,77,24,1,23
2000,Voshon Lenard,Miami Heat,53,629,136,15,153
2000,Quincy Lewis,Utah Jazz,74,283,40,15,113
2000,Rashard Lewis,Seattle Supersonics,82,674,70,36,336
2000,Randy Livingston,Phoenix Suns,79,381,170,13,130
2000,Grant Long,Vancouver Grizzlies,42,203,43,10,234
2000,Luc Longley,Phoenix Suns,72,452,77,42,323
2000,Felipe Lopez,Vancouver Grizzlies,65,292,44,17,124
2000,Tyronn Lue,Los Angeles Lakers,8,48,17,0,12
2000,George Lynch,Philadelphia 76ers,75,722,136,38,582
2000,Todd MacCulloch,Philadelphia 76ers,56,206,13,37,146
2000,Sam Mack,Golden State Warriors,23,114,24,1,39
2000,Don MacLean,Phoenix Suns,16,42,8,1,23
2000,Corey Maggette,Orlando Magic,77,646,61,26,303
2000,Dan Majerle,Miami Heat,69,506,206,17,333
2000,Karl Malone,Utah Jazz,82,2095,304,71,779
2000,Matt Maloney,Chicago Bulls,51,327,138,3,64
2000,Danny Manning,Milwaukee Bucks,72,333,73,29,208
2000,Stephon Marbury,New Jersey Nets,74,1640,622,15,240
2000,Shawn Marion,Phoenix Suns,51,520,69,53,332
2000,Sean Marks,Toronto Raptors,5,8,0,1,2
2000,Donny Marshall,Cleveland Cavaliers,6,11,0,0,1
2000,Donyell Marshall,Golden State Warriors,64,910,167,68,637
2000,Darrick Martin,Sacramento Kings,71,402,122,2,44
2000,Jamal Mashburn,Miami Heat,76,1328,298,14,381
2000,Anthony Mason,Chicago Hustle,82,948,367,29,699
2000,Tony Massenburg,Houston Rockets,10,46,3,5,27
2000,Vernon Maxwell,Seattle Supersonics,47,513,75,9,79
2000,Walter McCarty,Boston Celtics,61,229,70,23,110
2000,George McCloud,Denver Nuggets,78,787,246,26,285
2000,Jelani McCoy,Seattle Supersonics,58,249,24,46,179
2000,Antonio McDyess,Denver Nuggets,81,1551,159,139,685
2000,Tracy McGrady,Toronto Raptors,79,1213,263,151,501
2000,Jim McIlvaine,New Jersey Nets,66,157,36,117,230
2000,Jeff McInnis,Los Angeles Clippers,25,180,89,2,72
2000,Derrick McKey,Indiana Pacers,32,139,35,13,135
2000,Aaron McKie,Philadelphia 76ers,82,653,240,18,246
2000,Roshown McLeod,Atlanta Hawks,44,318,52,5,138
2000,Ron Mercer,Denver Nuggets,37,678,104,15,152
