name,yearOfBirth,birthCity,birthState,college
Cleanthony Early,1991,Middletown,New York,Wichita State University
Langston Galloway,1991,Baton Rouge,Louisiana,Saint Joseph's University
Erick Green,1991,Inglewood,California,Virginia Polytechnic Institute and State University
Joe Harris,1991,Chelan,Washington,University of Virginia
Alex Kirk,1991,Los Alamos,New Mexico,University of New Mexico
Joffrey Lauvergne,1991,Mulhouse,France,
Nikola Mirotic,1991,Podgorica,Montenegro,
Eric Moreland,1991,Houston,Texas,Oregon State University
Shabazz Napier,1991,Roxbury,Massachusetts,University of Connecticut
Adreian Payne,1991,Dayton,Ohio,Michigan State University
Dwight Powell,1991,Toronto,Canada,Stanford University
Russ Smith,1991,New York,New York,University of Louisville
David Stockton,1991,Spokane,Washington,Gonzaga University
Shayne Whittington,1991,Paw Paw,Michigan,Western Michigan University
Rakeem Christmas,1991,Irvington,New Jersey,Syracuse University
Duje Dukan,1991,Split,Croatia,University of Wisconsin
Jarell Eddie,1991,Tampa,Florida,Virginia Polytechnic Institute and State University
Josh Huestis,1991,Webster,Texas,Stanford University
R.J. Hunter,1991,,,
Jordan McRae,1991,Savannah,Georgia,University of Tennessee
Lamar Patterson,1991,Lancaster,Pennsylvania,University of Pittsburgh
Pierre Jackson,1991,Las Vegas,Nevada,Baylor University
Rodney McGruder,1991,Landover,Maryland,Kansas State University
Tomas Satoransky,1991,Prague,Czech Republic,
Bismack Biyombo,1992,Lubumbashi,Democratic Republic of the Congo,
Kyrie Irving,1992,Melbourne,Australia,Duke University
Enes Kanter,1992,Zurich,Switzerland,
D.J. Kennedy,1992,,,
Evan Fournier,1992,Saint-Maurice,France,
Terrence Jones,1992,Portland,Oregon,University of Kentucky
Jeremy Lamb,1992,Henrico Valley,Virginia,University of Connecticut
Meyers Leonard,1992,Woodbridge,Virginia,University of Illinois at Urbana-Champaign
Quincy Miller,1992,Chicago,Illinois,Baylor University
Austin Rivers,1992,Santa Monica,California,Duke University
Jared Sullinger,1992,Columbus,Ohio,Ohio State University
Jonas Valanciunas,1992,Utena,Lithuania,
Vander Blue,1992,Milwaukee,Wisconsin,Marquette University
Trey Burke,1992,Columbus,Ohio,University of Michigan
Allen Crabbe,1992,Los Angeles,California,University of California
Rudy Gobert,1992,Saint-Quentin,France,
Shane Larkin,1992,Cincinnati,Ohio,University of Miami
Ricky Ledo,1992,Providence,Rhode Island,
Shabazz Muhammad,1992,Los Angeles,California,"University of California, Los Angeles"
Victor Oladipo,1992,Silver Spring,Maryland,Indiana University
Cody Zeller,1992,Washington,Indiana,Indiana University
Sim Bhullar,1992,Ontario,Canada,New Mexico State University
Bojan Bogdanovic,1992,Belgrade,Serbia,
Jabari Brown,1992,Oakland,California,University of Missouri
Jordan Clarkson,1992,Tampa,Florida,University of Missouri
Bryce Cotton,1992,Tucson,Arizona,Providence College
Rodney Hood,1992,Meridian,Mississippi,Duke University
Nick Johnson,1992,Tempe,Arizona,University of Arizona
Tyler Johnson,1992,Grand Forks,North Dakota,"California State University, Fresno"
Devyn Marble,1992,Southfield,Michigan,University of Iowa
James Michael,1992,,,
K.J. McDaniels,1992,,,
Doug McDermott,1992,Grand Forks,North Dakota,Creighton University
Mitch McGary,1992,Chesterton,Indiana,University of Michigan
Lucas Nogueira,1992,Sao Goncalo,Brazil,
Thanasis Antetokounmpo,1992,Athens,Greece,
Keith Appling,1992,Detroit,Michigan,Michigan State University
Coty Clarke,1992,Antioch,Tennessee,University of Arkansas
Bryce Dejean-Jones,1992,Los Angeles,California,Iowa State University
Cristiano Felicio,1992,Pouso Alegre,Brazil,
Raul Neto,1992,Belo Horizonte,Brazil,
J.J. O'Brien,1992,,,
Walter Tavares,1992,Maio,Cape Verde,
Axel Toupane,1992,Mulhouse,France,
Briante Weber,1992,Chesapeake,Virginia,Virginia Commonwealth University
Delon Wright,1992,Los Angeles,California,University of Utah
Joe Young,1992,Houston,Texas,University of Oregon
Davis Bertans,1992,Valmiera,Latvia,
Malcolm Brogdon,1992,Atlanta,Georgia,University of Virginia
Jaylen Brown,1992,Oakland,California,University of Missouri
Semaj Christon,1992,Cincinnati,Ohio,Xavier University
Michael Gbinije,1992,Hartford,Connecticut,Syracuse University
Sheldon McClellan,1992,Houston,Texas,University of Miami
Maurice Ndour,1992,Sindia,Senegal,Ohio University
Okaro White,1992,Clearwater,Florida,Florida State University
Kyle Wiltjer,1992,Portland,Oregon,Gonzaga University
Bradley Beal,1993,St. Louis,Missouri,University of Florida
Andre Drummond,1993,Mount Vernon,New York,University of Connecticut
Maurice Harkless,1993,Queens,New York,St. John's University
Michael Kidd-Gilchrist,1993,Philadelphia,Pennsylvania,University of Kentucky
Marquis Teague,1993,Indianapolis,Indiana,University of Kentucky
Tony Wroten,1993,Seattle,Washington,University of Washington
Steven Adams,1993,Rotorua,New Zealand,University of Pittsburgh
Anthony Bennett,1993,Toronto,Canada,"University of Nevada, Las Vegas"
Kentavious Caldwell-Pope,1993,Thomaston,Georgia,University of Georgia
Sergey Karasev,1993,St. Petersburg,Russia,
Alex Len,1993,Antratsit,Ukraine,University of Maryland
Ben McLemore,1993,St. Louis,Missouri,University of Kansas
Otto Porter,1993,St. Louis,Missouri,Georgetown University
Dennis Schroder,1993,Braunschweig,Germany,
Adonis Thomas,1993,Memphis,Tennessee,University of Memphis
Kyle Anderson,1993,New York,New York,"University of California, Los Angeles"
Spencer Dinwiddie,1993,Los Angeles,California,University of Colorado
Grant Jerrett,1993,Costa Mesa,California,University of Arizona
Johnny O'Bryant,1993,Cleveland,Mississippi,Louisiana State University
Nik Stauskas,1993,Mississauga,Canada,University of Michigan
Justin Anderson,1993,Montross,Virginia,University of Virginia
Willie Cauley-Stein,1993,Spearville,Kansas,University of Kentucky
Pat Connaughton,1993,Arlington,Massachusetts,University of Notre Dame
Branden Dawson,1993,Gary,Indiana,Michigan State University
Darrun Hilliard,1993,Bethlehem,Pennsylvania,Villanova University
Richaun Holmes,1993,Lockport,Illinois,Bowling Green State University
Frank Kaminsky,1993,Winfield,Illinois,University of Wisconsin
Luis Montero,1993,Santo Domingo,Dominican Republic,Westchester CC
Norman Powell,1993,San Diego,California,"University of California, Los Angeles"
Josh Richardson,1993,Edmond,Oklahoma,University of Tennessee
Alex Abrines,1993,Palma de Mallorca,Spain,
Ron Baker,1993,Hays,Kansas,Wichita State University
Nicolas Brussino,1993,Santa Fe,Argentina,
Quinn Cook,1993,Washington,District of Columbia,Duke University
Yogi Ferrell,1993,Indianapolis,Indiana,Indiana University
Dorian Finney-Smith,1993,Portsmouth,Virginia,University of Florida
Bryn Forbes,1993,Lansing,Michigan,Michigan State University
Patricio Garino,1993,Buenos Aires,Argentina,George Washington University
Treveon Graham,1993,Washington,District of Columbia,Virginia Commonwealth University
A.J. Hammons,1993,,,
Buddy Hield,1993,Freeport,Bahamas,University of Oklahoma
Danuel House,1993,Houston,Texas,Texas A&M University
Shawn Long,1993,Morgan City,Louisiana,University of Louisiana at Lafayette
Georges Niang,1993,Lawrence,Massachusetts,Iowa State University
David Nwaba,1993,Los Angeles,California,"California Polytechnic State University, San Luis Obispo"
Daniel Ochefu,1993,Baltimore,Maryland,Villanova University
Alex Poythress,1993,Savannah,Georgia,University of Kentucky
Chasson Randle,1993,Rock Island,Illinois,Stanford University
Jarrod Uthoff,1993,Cedar Rapids,Iowa,University of Iowa
Denzel Valentine,1993,Lansing,Michigan,Michigan State University
Giannis Antetokounmpo,1994,Athens,Greece,
Archie Goodwin,1994,Little Rock,Arkansas,University of Kentucky
Jordan Adams,1994,Atlanta,Georgia,"University of California, Los Angeles"
Tyler Ennis,1994,Brampton,Canada,Syracuse University
Jerami Grant,1994,Portland,Oregon,Syracuse University
Gary Harris,1994,Fishers,Indiana,Michigan State University
Nerlens Noel,1994,Malden,Massachusetts,University of Kentucky
Jusuf Nurkic,1994,Tuzla,Bosnia and Herzegovina,
Elfrid Payton,1994,Gretna,Louisiana,University of Louisiana at Lafayette
Julius Randle,1994,Dallas,Texas,University of Kentucky
Marcus Smart,1994,Flower Mound,Texas,Oklahoma State University
Jarnell Stokes,1994,Memphis,Tennessee,University of Tennessee
Sam Dekker,1994,Sheboygan,Wisconsin,University of Wisconsin
Jerian Grant,1994,Portland,Oregon,Syracuse University
Montrezl Harrell,1994,Tarboro,North Carolina,University of Louisville
Aaron Harrison,1994,San Antonio,Texas,University of Kentucky
Jarell Martin,1994,Baton Rouge,Louisiana,Louisiana State University
T.J. McConnell,1994,,,
Jordan Mickey,1994,Dallas,Texas,Louisiana State University
Cameron Payne,1994,Memphis,Tennessee,Murray State University
Terry Rozier,1994,Youngstown,Ohio,University of Louisville
D'Angelo Russell,1994,,,
DeAndre' Bembry,1994,Charlotte,North Carolina,Saint Joseph's University
Joel Bolomboy,1994,Kiev,Ukraine,Weber State University
Kris Dunn,1994,New London,Connecticut,Providence College
Joel Embiid,1994,Yaounde,Cameroon,University of Kansas
Marcus Georges-Hunt,1994,Miami,Florida,Georgia Institute of Technology
Andrew Harrison,1994,San Antonio,Texas,University of Kentucky
Willy Hernangomez,1994,Madrid,Spain,
Demetrius Jackson,1994,South Bend,Indiana,University of Notre Dame
Jake Layman,1994,Norwood,Massachusetts,University of Maryland
Caris LeVert,1994,Columbus,Ohio,University of Michigan
Tim Quarterman,1994,Savannah,Georgia,Louisiana State University
Dario Saric,1994,Sibenik,Croatia,
Wayne Selden,1994,Roxbury,Massachusetts,University of Kansas
Pascal Siakam,1994,Douala,Cameroon,New Mexico State University
Isaiah Taylor,1994,Hayward,California,University of Texas at Austin
Mike Tobey,1994,Monroe,New York,University of Virginia
Fred VanVleet,1994,Rockford,Illinois,Wichita State University
Taurean Waller-Prince,1994,,,
Paul Zipser,1994,Heidelberg,Germany,
Bruno Caboclo,1995,Osasco,Brazil,
Clint Capela,1995,,,
Dante Exum,1995,Melbourne,Australia,
Aaron Gordon,1995,San Jose,California,University of Arizona
Zach LaVine,1995,Renton,Washington,"University of California, Los Angeles"
Jabari Parker,1995,Chicago,Illinois,Duke University
Noah Vonleh,1995,Haverhill,Massachusetts,Indiana University
T.J. Warren,1995,,,
Andrew Wiggins,1995,Toronto,Canada,University of Kansas
C.J. Wilcox,1995,,,
James Young,1995,Flint,Michigan,University of Kentucky
Cliff Alexander,1995,Chicago,Illinois,University of Kansas
Mario Hezonja,1995,Dubrovnik,Croatia,
Rondae Hollis-Jefferson,1995,Chester,Pennsylvania,University of Arizona
Damien Inglis,1995,Cayenne,French Guiana,
Nikola Jokic,1995,Sombor,Serbia,
Trey Lyles,1995,Saskatoon,Canada,University of Kentucky
Chris McCullough,1995,Bronx,New York,Syracuse University
Jahlil Okafor,1995,Chicago,Illinois,Duke University
Kelly Oubre,1995,New Orleans,Louisiana,University of Kansas
Bobby Portis,1995,Little Rock,Arkansas,University of Arkansas
Kristaps Porzingis,1995,Liepaja,Latvia,
Karl-Anthony Towns,1995,Edison,New Jersey,University of Kentucky
Christian Wood,1995,Long Beach,California,"University of Nevada, Las Vegas"
Ben Bentil,1995,Ghana,,Providence College
Kay Felder,1995,Detroit,Michigan,Oakland University
Juan Hernangomez,1995,Madrid,Spain,
Timothe Luwawu-Cabarrot,1995,Cannes,France,
Patrick McCaw,1995,St. Louis,Missouri,"University of Nevada, Las Vegas"
Jakob Poeltl,1995,Vienna,Austria,University of Utah
Isaiah Whitehead,1995,Brooklyn,New York,Seton Hall University
Devin Booker,1996,Grand Rapids,Michigan,University of Kentucky
Tyus Jones,1996,Burnsville,Minnesota,Duke University
Kevon Looney,1996,Milwaukee,Wisconsin,"University of California, Los Angeles"
Emmanuel Mudiay,1996,Kinshasa,Democratic Republic of the Congo,
Xavier Munford,1996,,,
Myles Turner,1996,Bedford,Texas,University of Texas at Austin
Rashad Vaughn,1996,Minneapolis,Minnesota,"University of Nevada, Las Vegas"
Justise Winslow,1996,Houston,Texas,Duke University
Wade Baldwin,1996,Belle Mead,New Jersey,Vanderbilt University
Malik Beasley,1996,Atlanta,Georgia,Florida State University
Deyonta Davis,1996,Muskegon,Michigan,Michigan State University
Cheick Diallo,1996,Kayes,Mali,University of Kansas
Skal Labissiere,1996,Port-Au-Prince,Haiti,University of Kentucky
Dejounte Murray,1996,Seattle,Washington,University of Washington
Chinanu Onuaku,1996,Baltimore,Maryland,University of Louisville
Malachi Richardson,1996,Trenton,New Jersey,Syracuse University
Domantas Sabonis,1996,Portland,Oregon,Gonzaga University
Tyler Ulis,1996,Detroit,Michigan,University of Kentucky
Stephen Zimmerman,1996,Hendersonville,Tennessee,"University of Nevada, Las Vegas"
Dragan Bender,1997,Capljina,Bosnia and Herzegovina,
Marquese Chriss,1997,Sacramento,California,University of Washington
Henry Ellenson,1997,Rice Lake,Wisconsin,Marquette University
Brandon Ingram,1997,Kinston,North Carolina,Duke University
Thon Maker,1997,South Sudan,,
Jamal Murray,1997,Kitchener,Canada,University of Kentucky
Georgios Papagiannis,1997,Amarousio,Greece,
Diamond Stone,1997,Milwaukee,Wisconsin,University of Maryland
Edy Tavares,1997,,,
Ivica Zubac,1997,Mostar,Bosnia and Herzegovina,
