name,yearOfBirth,birthCity,birthState,college
Corie Blount,1969,Monrovia,California,University of Cincinnati
Sam Cassell,1969,Baltimore,Maryland,Florida State University
Lou Williams,1969,Ocala,Florida,Stetson University
Steven Smith,1969,Highland Park,Michigan,Michigan State University
Troy Williams,1969,Columbia,South Carolina,South Carolina State University
Kenny Anderson,1970,Queens,New York,Georgia Institute of Technology
Terrell Brandon,1970,Portland,Oregon,University of Oregon
Stanley Roberts,1970,Hopkins,South Carolina,Louisiana State University
Doug Christie,1970,Seattle,Washington,Pepperdine University
Hubert Davis,1970,Winston-Salem,North Carolina,University of North Carolina
Todd Day,1970,Decatur,Illinois,University of Arkansas
LaPhonso Ellis,1970,East St. Louis,Illinois,University of Notre Dame
Robert Horry,1970,Andalusia,Alabama,University of Alabama
Jim Jackson,1970,Toledo,Ohio,Ohio State University
Adam Keefe,1970,Irvine,California,Stanford University
Sam Mack,1970,Chicago,Illinois,University of Houston
Don MacLean,1970,Palo Alto,California,"University of California, Los Angeles"
Oliver Miller,1970,Fort Worth,Texas,University of Arkansas
Alonzo Mourning,1970,Chesapeake,Virginia,Georgetown University
Malik Sealy,1970,Bronx,New York,St. John's University
Latrell Sprewell,1970,Milwaukee,Wisconsin,University of Alabama
Bryant Stith,1970,Emporia,Virginia,University of Virginia
Clarence Weatherspoon,1970,Crawford,Mississippi,University of Southern Mississippi
Lucious Harris,1970,Los Angeles,California,"California State University, Long Beach"
Antonio Harvey,1970,Pascagoula,Mississippi,Pfeiffer University
Lindsey Hunter,1970,Utica,Mississippi,Jackson State University
Popeye Jones,1970,Dresden,Tennessee,Murray State University
George Lynch,1970,Roanoke,Virginia,University of North Carolina
Chris Mills,1970,Los Angeles,California,University of Arizona
Bryon Russell,1970,San Bernardino,California,"California State University, Long Beach"
Nick Van,1970,,,
Rex Walters,1970,Omaha,Nebraska,University of Kansas
David Wesley,1970,San Antonio,Texas,Baylor University
Eric Piatkowski,1970,Steubenville,Ohio,University of Nebraska
Reggie Slater,1970,Houston,Texas,University of Wyoming
Mark Strickland,1970,Atlanta,Georgia,Temple University
Zan Tabak,1970,Split,Croatia,
Charlie Ward,1970,Thomasville,Georgia,Florida State University
John Amaechi,1970,Boston,Massachusetts,Pennsylvania State University
Corliss Williamson,1970,Twiggs,Georgia,Oklahoma State University
Shane Heal,1970,Melbourne,Australia,
Tony Farmer,1970,Los Angeles,California,University of Nebraska
Lawrence Funderburke,1970,Columbus,Ohio,Ohio State University
Stephen Jackson,1970,Tuskegee,Alabama,University of Alabama at Birmingham
Darius Johnson-Odom,1970,Morgan City,Louisiana,Syracuse University
Tracy Murray,1971,Los Angeles,California,"University of California, Los Angeles"
Vin Baker,1971,Lake Wales,Florida,University of Hartford
Scott Burrell,1971,New Haven,Connecticut,University of Connecticut
Calbert Cheaney,1971,Evansville,Indiana,Indiana University
Anfernee Hardaway,1971,Memphis,Tennessee,University of Memphis
Allan Houston,1971,Louisville,Kentucky,University of Tennessee
Gheorghe Muresan,1971,Triteni,Romania,
Bo Outlaw,1971,San Antonio,Texas,University of Houston
Isaiah Rider,1971,Oakland,California,"University of Nevada, Las Vegas"
Rodney Rogers,1971,Durham,North Carolina,Wake Forest University
Chris Whitney,1971,Hopkinsville,Kentucky,Clemson University
Aaron Williams,1971,Evanston,Illinois,Xavier University
Darrick Martin,1971,Denver,Colorado,"University of California, Los Angeles"
Anthony Miller,1971,Benton Harbor,Michigan,Michigan State University
Eric Montross,1971,Indianapolis,Indiana,University of North Carolina
Wesley Person,1971,Crenshaw,Alabama,Auburn University
Carlos Rogers,1971,Detroit,Michigan,Tennessee State University
Fred Vinson,1971,Murfreesboro,North Carolina,Georgia Institute of Technology
Monty Williams,1971,Fredericksburg,Virginia,University of Notre Dame
Brent Barry,1971,Hempstead,New York,Oregon State University
John Coker,1971,Richland,Washington,Boise State University
Anthony Goldwire,1971,West Palm Beach,Florida,University of Houston
Bruce Bowen,1971,Merced,California,"California State University, Fullerton"
Matt Maloney,1971,Silver Spring,Maryland,University of Pennsylvania
Roy Rogers,1971,Durham,North Carolina,Wake Forest University
Kornel David,1971,Hungary,,
Andre Miller,1971,Benton Harbor,Michigan,Michigan State University
Alton Ford,1971,Greenwood,Mississippi,Mississippi Valley State University
Antoine Rigaudeau,1971,Cholet,France,
Mo Williams,1971,Fredericksburg,Virginia,University of Notre Dame
Shaquille O'Neal,1972,Newark,New Jersey,Louisiana State University
Shawn Bradley,1972,Landstuhl,Germany,Brigham Young University
P.J. Brown,1972,,,
Jamal Mashburn,1972,New York,New York,University of Kentucky
Bill Curley,1972,Boston,Massachusetts,Boston College
Howard Eisley,1972,Detroit,Michigan,Boston College
Brian Grant,1972,Columbus,Ohio,Xavier University
Grant Hill,1972,Dallas,Texas,Duke University
Jim McIlvaine,1972,Racine,Wisconsin,Marquette University
Aaron McKie,1972,Philadelphia,Pennsylvania,Temple University
Khalid Reeves,1972,Queens,New York,University of Arizona
Dickey Simpkins,1972,Fort Washington,Maryland,Providence College
Travis Best,1972,Springfield,Massachusetts,Georgia Institute of Technology
Alan Henderson,1972,Indianapolis,Indiana,Indiana University
Fred Hoiberg,1972,Lincoln,Nebraska,Iowa State University
Kurt Thomas,1972,Dallas,Texas,Texas Christian University
Eric Williams,1972,Newark,New Jersey,Providence College
Ben Davis,1972,Vero Beach,Florida,University of Arizona
Devin Gray,1972,Baltimore,Maryland,Clemson University
Michael Hawkins,1972,Canton,Ohio,Xavier University
Shawnelle Scott,1972,New York,New York,St. John's University
