voiceActor,movie,character
David Ogden Stiers,Lilo & Stitch,Dr. Jumba Jookiba
Tino Insana,Darkwing Duck,Dr. Reginald Bushroot
Jim Cummings,Darkwing Duck,Drake Mallard (Darkwing Duck)
Rhoda Williams,Cinderella,Drizella Tremaine
Eva Gabor,The Aristocats,Duchess
Marjorie Bennett,One Hundred and One Dalmatians,Duchess
Chuck McCann,DuckTales,Duckworth
Alan Tudyk,Frozen,Duke of Weselton
Alan Tudyk,Zootopia,Duke Weaselton
Horatio Sanz,Wreck-It Ralph,Duncan
Jim Cummings,The Lion King,Ed
Roddy Maude-Roxby,The Aristocats,Edgar Balthazar the Butler
Roger Rees,Return to Never Land,Edward
Della Reese,Dinosaur,Eema
Ralph Wright,Winnie the Pooh and the Honey Tree,Eeyore
Richard Mulligan,Oliver & Company,Einstein
Jim Cummings,DuckTales,El Capitan
John Goodman,The Princess and the Frog,"Eli ""Big Daddy"" La Bouff"
Jeanette Nolan,The Rescuers,Ellie Mae
Charlie Callas,Pete's Dragon,Elliott
Idina Menzel,Frozen,Elsa
Pat Morita,Mulan,Emperor of China
Kath Soucie,Beauty and the Beast: The Enchanted Christmas,The Enchantress
Demi Moore,The Hunchback of Notre Dame,Esmeralda
Oprah Winfrey,The Princess and the Frog,Eudora
Jimmy MacDonald,The Rescuers,Evinrude
Freda Foh Shen,Mulan,Fa Li
Soon-Tek Oh,Mulan,Fa Zhou
Dom DeLuise,Oliver & Company,Fagin
Verna Felton,Cinderella,Fairy Godmother
Jane Horrocks,Disney Fairies,Fairy Mary
Cammie King,Bambi,Faline
Frank Welker,Bonkers,Fall-Apart Rabbit
Carla Meyer,The Rescuers Down Under,Faloo
Jim Cummings,Chip 'n Dale Rescue Rangers,Fat Cat
Ben Wright,The Jungle Book,Father Wolf
Barbara Jo Allen,Sleeping Beauty,Fauna
America Ferrera,Disney Fairies,Fawn
Frank Welker,The Great Mouse Detective,Felicia the Cat
Hamilton Camp,DuckTales,Fenton Crackshell (Gizmoduck)
David Ogden Stiers,Atlantis: The Lost Empire,Fenton Q. Harcourt
Milt Kahl,Silly Symphonies,Ferdinand the Bull
Nigel Hawthorne,The Black Cauldron,Fflewddur Fflam
Candy Candido,The Great Mouse Detective,Fidget
